Timestamp,Number of Worms,Phosphorous01,Phosphorous02,Nitrogen01,Nitrogen02,Potassium01,Potassium02,Light Intensity,Temp01,Hum01,Heat01,SoilM01,SoilM02,Grams of Compost Harvested,Remarks
"11 May 2024, 2:30 PM","32 (estimated, no adds)",101,,93,,43,,61,31.6,75,47,1,,,Took out for feeding
"11 May 2024, 2:40 PM",32,101,,93,,45,,59,31.5,75,48,1,,,
"11 May 2024, 2:50 PM",32,103,,93,,45,,59,31.7,75,47,1,,,
"11 May 2024, 3:00 PM",32,101,,93,,45,,60,31.9,75,47,1,,,
"11 May 2024, 3:10 PM",32,101,,93,,45,,61,31.9,75,48,1,,,
"11 May 2024, 3:20 PM",32,101,,94,,45,,61,31.7,73,46,1,,,
"11 May 2024, 3:30 PM",32,101,,93,,45,,61,31.2,74,47,1,,,
"11 May 2024, 3:40 PM",32,101,,93,,45,,61,31.0,75,48,1,,,
"11 May 2024, 3:50 PM",32,99,,93,,45,,61,31.2,76,48,1,,,
"11 May 2024, 4:00 PM",32,101,,92,,45,,60,31.6,77,49,1,,,
"11 May 2024, 4:10 PM",32,101,,93,,45,,59,31.5,69,44,0,,331g of compost harvested,sensors removed
"11 May 2024, 4:20 PM",32,101,,93,,45,,58,31.6,68,43,1,,,
"11 May 2024, 4:30 PM",32,101,,93,,45,,44,31.4,69,44,1,,,
"11 May 2024, 4:40 PM",32,101,,93,,45,,42,31.9,67,43,1,,,
"11 May 2024, 4:50 PM",32,99,,95,,45,,42,31.1,71,45,1,,,
"11 May 2024, 5:00 PM",32,101,,93,,45,,42,31.8,70,44,1,,,
"11 May 2024, 5:10 PM",32,101,,93,,45,,43,31.4,71,45,1,,,
"11 May 2024, 5:20 PM",32,108,,95,,45,,43,31.6,72,45,1,,,
"11 May 2024, 5:30 PM",32,112,,93,,45,,44,31.6,69,44,1,,,
"11 May 2024, 5:40 PM",32,111,,93,,45,,41,31.1,69,43,1,,,
"11 May 2024, 5:50 PM",32,111,,93,,45,,43,31.7,69,43,1,,,
